province,district,crop_livestock,hazard,vc_stage,impact,freq,severity,percentage
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Farm to market roads damaged,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in transportation costs,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Low level of value addition,15,Text here,15
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Lower quality produce/ doesn’t meet standards,70,Text here,70
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Products fetch low prices due to poor quality,15,Text here,15
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Unable to fulfill orders,11,Text here,11
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Unpredictability of supply,5,Text here,5
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Reduced access to market information,3,Text here,3
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Farm to market roads damaged,2,Text here,2
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Unable to grow crops demanded by the market,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Damage to nurseries/1.Input store,3,Text here,3
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Excess demand for new/improved/tolerant varieties,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Increased price of 1.Inputs,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Reduced access to extension services,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of on-farm income,3,Text here,3
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Damage to irrigation system,2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,High incidence of pest and disease outbreaks,2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Cant work in the field,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Crops/livestock die or are damaged causing low yields,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,"Delayed planting/ uncertainty in planning farm operations (planting, maintenance & harvesting)",1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Erosion of topsoil,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Extra labour & costs in land preparation,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of alternative income sources,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Reduced water availability,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Trouble accessing hired labour,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in post-harvest losses,3,Text here,3
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Farm to market roads damaged,2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in transportation costs,2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Damage to storage facilities,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Low quality produce for processing,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Processing delayed/disrupted,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Reduced access to market information,3,Text here,3
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to fulfill orders,3,Text here,3
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Low level of value addition,60,Text here,60
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Lower quality produce/ doesn’t meet standards,2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Products fetch low prices due to poor quality,2,Text here,2
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Farm to market roads damaged,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,High costs to reach markets,1,Text here,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unpredictability of supply,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Excess demand for new/improved/tolerant varieties,13,Text here,13
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Poor quality seed,13,Text here,13
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Increased price of 1.Inputs,90,Text here,90
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Farmers unable to repay loans,5,Text here,5
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",4,Text here,4
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Reduced access to extension services,3,Text here,3
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Difficulty accessing loans (banks not ending),2,Text here,2
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Damage to nurseries/1.Input store,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1.Input ,Reduced demand for service providers,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,High incidence of pest and disease outbreaks,15,Text here,15
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Loss of on-farm income,14,Text here,14
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Crops/livestock die or are damaged causing low yields,8,Text here,8
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Need to use more 1.Inputs,5,Text here,5
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,More weeds,4,Text here,4
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Crops don't germinate,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Damage to irrigation system,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,"Delayed planting/ uncertainty in planning farm operations (planting, maintenance & harvesting)",1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Extra labour & costs in land preparation,99,Text here,99
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Loss of alternative income sources,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increased storage costs,11,Text here,11
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in post-harvest losses,10,Text here,10
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Low quality produce for processing,8,Text here,8
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Farm to market roads damaged,4,Text here,4
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in transportation costs,3,Text here,3
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Damage to storage facilities,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Processing delayed/disrupted,1,Text here,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Lower quality produce/ doesn’t meet standards,13,Text here,13
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Low level of value addition,10,Text here,10
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Unable to fulfill orders,10,Text here,10
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Products fetch low prices due to poor quality,8,Text here,8
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Unpredictability of supply,5,Text here,5
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Farm to market roads damaged,3,Text here,3
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,High costs to reach markets,3,Text here,3
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Reduced access to market information,65,Text here,65
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Increased buying prices for produce,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Increased demand for irrigation infrastructure materials,6,Text here,6
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",5,Text here,5
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Increased price of 1.Inputs,4,Text here,4
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Damage to nurseries/1.Input store,2,Text here,2
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Reduced access to extension services,2,Text here,2
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Farmers unable to repay loans,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Poor quality seed,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Reduced sales of 1.Inputs,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1.Input ,"Unmet demand for service providers (labour, machinery)",1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Damage to irrigation system,7,Text here,7
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",5,Text here,5
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Crops/livestock die or are damaged causing low yields,3,Text here,3
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of on-farm income,3,Text here,3
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Erosion of topsoil,2,Text here,2
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,High incidence of pest and disease outbreaks,2,Text here,2
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Cant work in the field,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Extra labour & costs in land preparation,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,1.Inputs washed away/leeching,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of alternative income sources,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,More weeds,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Reduced water availability,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Trouble accessing hired labour,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Farm to market roads damaged,6,Text here,6
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Damage to storage facilities,5,Text here,5
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in transportation costs,4,Text here,4
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increased storage costs,4,Text here,4
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,3,Text here,3
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in post-harvest losses,3,Text here,3
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Processing delayed/disrupted,3,Text here,3
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Farm to market roads damaged,7,Text here,7
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,High costs to reach markets,7,Text here,7
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Reduced access to market information,6,Text here,6
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unpredictability of supply,6,Text here,6
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to fulfill orders,5,Text here,5
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Low level of value addition,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Products fetch low prices due to poor quality,1,Text here,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to grow crops demanded by the market,1,Text here,1
KP,Chitral,Potato,Landslides,1.Input ,Increased price of 1.Inputs,4,Text here,4
KP,Chitral,Potato,Landslides,1.Input ,Increased demand for irrigation infrastructure materials,3,Text here,3
KP,Chitral,Potato,Landslides,1.Input ,Reduced access to extension services,3,Text here,3
KP,Chitral,Potato,Landslides,1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",2,Text here,2
KP,Chitral,Potato,Landslides,1.Input ,Damage to nurseries/1.Input store,1,Text here,1
KP,Chitral,Potato,Landslides,1.Input ,Poor quality seed,1,Text here,1
KP,Chitral,Potato,Landslides,2. On-farm,Damage to irrigation system,3,Text here,3
KP,Chitral,Potato,Landslides,2. On-farm,Loss of on-farm income,3,Text here,3
KP,Chitral,Potato,Landslides,2. On-farm,Crops/livestock die or are damaged causing low yields,2,Text here,2
KP,Chitral,Potato,Landslides,2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",2,Text here,2
KP,Chitral,Potato,Landslides,2. On-farm,Cant work in the field,1,Text here,1
KP,Chitral,Potato,Landslides,2. On-farm,Erosion of topsoil,1,Text here,1
KP,Chitral,Potato,Landslides,2. On-farm,Extra labour & costs in land preparation,1,Text here,1
KP,Chitral,Potato,Landslides,2. On-farm,Loss of alternative income sources,1,Text here,1
KP,Chitral,Potato,Landslides,2. On-farm,Reduced water availability,1,Text here,1
KP,Chitral,Potato,Landslides,2. On-farm,Trouble accessing hired labour,1,Text here,1
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Damage to storage facilities,3,Text here,3
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Farm to market roads damaged,2,Text here,2
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Increase in post-harvest losses,2,Text here,2
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Increase in transportation costs,2,Text here,2
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Increased storage costs,2,Text here,2
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Text here,1
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,1,Text here,1
KP,Chitral,Potato,Landslides,4. Marketing,Farm to market roads damaged,4,Text here,4
KP,Chitral,Potato,Landslides,4. Marketing,High costs to reach markets,4,Text here,4
KP,Chitral,Potato,Landslides,4. Marketing,Unpredictability of supply,3,Text here,3
KP,Chitral,Potato,Landslides,4. Marketing,Reduced access to market information,2,Text here,2
KP,Chitral,Potato,Landslides,4. Marketing,Unable to fulfill orders,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Poor quality seed,17,Text here,17
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Excess demand for new/improved/tolerant varieties,15,Text here,15
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Increased price of 1.Inputs,8,Text here,8
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",4,Text here,4
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Difficulty accessing loans (banks not ending),2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Farmers unable to repay loans,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Increased demand for irrigation infrastructure materials,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Reduced access to extension services,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1.Input ,Reduced sales of 1.Inputs,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Loss of on-farm income,15,Text here,15
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,High incidence of pest and disease outbreaks,13,Text here,13
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,More weeds,9,Text here,9
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Need to use more 1.Inputs,7,Text here,7
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Crops/livestock die or are damaged causing low yields,5,Text here,5
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Damage to irrigation system,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Loss of alternative income sources,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Reduced water availability,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Crops don't germinate,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,"Delayed planting/ uncertainty in planning farm operations (planting, maintenance & harvesting)",1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Extra labour & costs in land preparation,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in post-harvest losses,14,Text here,14
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increased storage costs,11,Text here,11
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Low quality produce for processing,10,Text here,10
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Farm to market roads damaged,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in transportation costs,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Processing delayed/disrupted,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Difficulty transporting live animals,1,Text here,1
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Lower quality produce/ doesn’t meet standards,13,Text here,13
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Unable to fulfill orders,13,Text here,13
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Products fetch low prices due to poor quality,11,Text here,11
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Low level of value addition,6,Text here,6
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Unpredictability of supply,5,Text here,5
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Farm to market roads damaged,3,Text here,3
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,High costs to reach markets,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Reduced access to market information,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Unable to grow crops demanded by the market,2,Text here,2
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),4. Marketing,Increased buying prices for produce,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),1.Input ,"Trouble accessing 1.Inputs (fertilizer, pesticides, seeds, feeds)",2,Text here,2
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Increased price of 1.Inputs,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),1.Input ,Poor quality seed,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Damage to irrigation system,2,Text here,2
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of on-farm income,2,Text here,2
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Crops/livestock die or are damaged causing low yields,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Extra labour & costs in land preparation,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,1.Inputs washed away/leeching,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,More weeds,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Poor animal nutrition,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Reduced water availability,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Farm to market roads damaged,2,Text here,2
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in post-harvest losses,2,Text here,2
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Damage to storage facilities,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in transportation costs,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increased storage costs,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Low quality produce for processing,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Farm to market roads damaged,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,High costs to reach markets,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Low level of value addition,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to fulfill orders,1,Text here,1
KP,Chitral,Wheat,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unpredictability of supply,1,Text here,1
KP,D.I Khan,Cattle,Disease outbreak (Plant & Livestock),1.Input ,Reduced demand for service providers,4,Text here,4
KP,D.I Khan,Cattle,Disease outbreak (Plant & Livestock),1.Input ,Damage to nurseries/1.Input store,3,Text here,3
KP,D.I Khan,Cattle,Disease outbreak (Plant & Livestock),1.Input ,Increased price of 1.Inputs,3,Text here,3
KP,D.I Khan,Cattle,Disease outbreak (Plant & Livestock),1.Input ,Reduced access to extension services,3,Text here,3
