province,district,crop_livestock,hazard,vc_stage,impact,freq,severity,percentage,count,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increased storage costs,9,Major (30-50% loss in income),50,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,7,Major (30-50% loss in income),38.88888889,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Processing delayed/disrupted,4,Major (30-50% loss in income),22.22222222,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,3,Major (30-50% loss in income),16.66666667,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Farm to market roads damaged,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in transportation costs,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Low level of value addition,15,Major (30-50% loss in income),83.33333333,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Lower quality produce/ doesn't meet standards,15,Major (30-50% loss in income),83.33333333,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Products fetch low prices due to poor quality,15,Major (30-50% loss in income),83.33333333,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Unable to fulfill orders,11,Major (30-50% loss in income),61.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Unpredictability of supply,5,Major (30-50% loss in income),27.77777778,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Reduced access to market information,3,Major (30-50% loss in income),16.66666667,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Farm to market roads damaged,2,Major (30-50% loss in income),11.11111111,18,,,,,,,,,
KP,Chitral,Apricot,Disease outbreak (Plant & Livestock),4. Marketing,Unable to grow crops demanded by the market,1,Major (30-50% loss in income),5.555555556,18,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1. Input,Damage to nurseries/input store,3,Major (30-50% loss in income),100,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1. Input,"Trouble accessing inputs (fertilizer, pesticides, seeds, feeds)",2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1. Input,Excess demand for new/improved/tolerant varieties,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1. Input,Increased price of inputs,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),1. Input,Reduced access to extension services,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of on-farm income,3,Major (30-50% loss in income),100,3,,,,,,,,,1
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Damage to irrigation system,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,High incidence of pest and disease outbreaks,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Cant work in the field,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Crops/livestock die or are damaged causing low yields,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,"Delayed planting/ uncertainty in planning farm operations (planting, maintenance & harvesting)",1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Erosion of topsoil,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Extra labour & costs in land preparation,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of alternative income sources,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Reduced water availability,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Trouble accessing hired labour,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in post-harvest losses,3,Major (30-50% loss in income),100,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Farm to market roads damaged,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in transportation costs,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Damage to storage facilities,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Low quality produce for processing,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Processing delayed/disrupted,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Reduced access to market information,3,Major (30-50% loss in income),100,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to fulfill orders,3,Major (30-50% loss in income),100,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Low level of value addition,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Lower quality produce/ doesn't meet standards,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Products fetch low prices due to poor quality,2,Major (30-50% loss in income),66.66666667,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Farm to market roads damaged,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,High costs to reach markets,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Apricot,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unpredictability of supply,1,Major (30-50% loss in income),33.33333333,3,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Excess demand for new/improved/tolerant varieties,13,Major (30-50% loss in income),68.42105263,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Poor quality seed,13,Major (30-50% loss in income),68.42105263,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Increased price of inputs,10,Major (30-50% loss in income),52.63157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Farmers unable to repay loans,5,Major (30-50% loss in income),26.31578947,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Reduced access to extension services,3,Major (30-50% loss in income),15.78947368,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Difficulty accessing loans (banks not ending),2,Major (30-50% loss in income),10.52631579,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Damage to nurseries/input store,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),1. Input,Reduced demand for service providers,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Loss of on-farm income,14,Major (30-50% loss in income),73.68421053,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Crops/livestock die or are damaged causing low yields,8,Major (30-50% loss in income),42.10526316,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Need to use more inputs,5,Major (30-50% loss in income),26.31578947,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,More weeds,4,Major (30-50% loss in income),21.05263158,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Crops don't germinate,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Damage to irrigation system,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,"Delayed planting/ uncertainty in planning farm operations (planting, maintenance & harvesting)",1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Extra labour & costs in land preparation,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),2. On-farm,Loss of alternative income sources,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increased storage costs,11,Major (30-50% loss in income),57.89473684,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in post-harvest losses,10,Major (30-50% loss in income),52.63157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Low quality produce for processing,8,Major (30-50% loss in income),42.10526316,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Farm to market roads damaged,4,Major (30-50% loss in income),21.05263158,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Increase in transportation costs,3,Major (30-50% loss in income),15.78947368,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Damage to storage facilities,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),"3. Harvesting, storage & processing",Processing delayed/disrupted,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Lower quality produce/ doesn't meet standards,13,Major (30-50% loss in income),68.42105263,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Low level of value addition,10,Major (30-50% loss in income),52.63157895,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Unable to fulfill orders,10,Major (30-50% loss in income),52.63157895,19,,,,,,,,,1
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Products fetch low prices due to poor quality,8,Major (30-50% loss in income),42.10526316,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Unpredictability of supply,5,Major (30-50% loss in income),26.31578947,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Farm to market roads damaged,3,Major (30-50% loss in income),15.78947368,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,High costs to reach markets,3,Major (30-50% loss in income),15.78947368,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Reduced access to market information,2,Major (30-50% loss in income),10.52631579,19,,,,,,,,,
KP,Chitral,Potato,Disease outbreak (Plant & Livestock),4. Marketing,Increased buying prices for produce,1,Major (30-50% loss in income),5.263157895,19,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Increased demand for irrigation infrastructure materials,6,Major (30-50% loss in income),85.71428571,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,"Trouble accessing inputs (fertilizer, pesticides, seeds, feeds)",5,Major (30-50% loss in income),71.42857143,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Increased price of inputs,4,Major (30-50% loss in income),57.14285714,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Damage to nurseries/input store,2,Major (30-50% loss in income),28.57142857,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Reduced access to extension services,2,Major (30-50% loss in income),28.57142857,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Farmers unable to repay loans,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Poor quality seed,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,Reduced sales of inputs,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),1. Input,"Unmet demand for service providers (labour, machinery)",1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Damage to irrigation system,7,Major (30-50% loss in income),100,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",5,Major (30-50% loss in income),71.42857143,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Crops/livestock die or are damaged causing low yields,3,Major (30-50% loss in income),42.85714286,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Erosion of topsoil,2,Major (30-50% loss in income),28.57142857,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,High incidence of pest and disease outbreaks,2,Major (30-50% loss in income),28.57142857,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Cant work in the field,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Extra labour & costs in land preparation,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,inputs washed away/leeching,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Loss of alternative income sources,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,More weeds,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Reduced water availability,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),2. On-farm,Trouble accessing hired labour,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Farm to market roads damaged,6,Major (30-50% loss in income),85.71428571,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Damage to storage facilities,5,Major (30-50% loss in income),71.42857143,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in transportation costs,4,Major (30-50% loss in income),57.14285714,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increased storage costs,4,Major (30-50% loss in income),57.14285714,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Difficulty procuring materials for processing,3,Major (30-50% loss in income),42.85714286,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Increase in post-harvest losses,3,Major (30-50% loss in income),42.85714286,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Processing delayed/disrupted,3,Major (30-50% loss in income),42.85714286,7,,,,,,,,,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Farm to market roads damaged,7,Major (30-50% loss in income),100,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,High costs to reach markets,7,Major (30-50% loss in income),100,7,,,,,,,,,1
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Reduced access to market information,6,Major (30-50% loss in income),85.71428571,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unpredictability of supply,6,Major (30-50% loss in income),85.71428571,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to fulfill orders,5,Major (30-50% loss in income),71.42857143,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Low level of value addition,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Products fetch low prices due to poor quality,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Heavy rain/ Flooding (Flash + Riverine),4. Marketing,Unable to grow crops demanded by the market,1,Major (30-50% loss in income),14.28571429,7,,,,,,,,,
KP,Chitral,Potato,Landslides,1. Input,Increased price of inputs,4,Major (30-50% loss in income),100,4,,,,,,,,,
KP,Chitral,Potato,Landslides,1. Input,Increased demand for irrigation infrastructure materials,3,Major (30-50% loss in income),75,4,,,,,,,,,
KP,Chitral,Potato,Landslides,1. Input,Reduced access to extension services,3,Major (30-50% loss in income),75,4,,,,,,,,,
KP,Chitral,Potato,Landslides,1. Input,"Trouble accessing inputs (fertilizer, pesticides, seeds, feeds)",2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,1. Input,Damage to nurseries/input store,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,1. Input,Poor quality seed,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Damage to irrigation system,3,Major (30-50% loss in income),75,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Loss of on-farm income,3,Major (30-50% loss in income),75,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Crops/livestock die or are damaged causing low yields,2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,"Increased requirement for mechanisation (ploughs, mechanised weeders)",2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Cant work in the field,1,Major (30-50% loss in income),25,4,,,,,,,,,1
KP,Chitral,Potato,Landslides,2. On-farm,Erosion of topsoil,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Extra labour & costs in land preparation,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Loss of alternative income sources,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,2. On-farm,Reduced water availability,1,Major (30-50% loss in income),25,4,,,,,,,,,1
KP,Chitral,Potato,Landslides,2. On-farm,Trouble accessing hired labour,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Damage to storage facilities,3,Major (30-50% loss in income),75,4,,,,,,,,,
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Farm to market roads damaged,2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Increase in post-harvest losses,2,Major (30-50% loss in income),50,4,,,,,,,,,1
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Increase in transportation costs,2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Increased storage costs,2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Difficulty procuring materials for processing,1,Major (30-50% loss in income),25,4,,,,,,,,,
KP,Chitral,Potato,Landslides,"3. Harvesting, storage & processing",Need for more processing/ increased processing costs,1,Major (30-50% loss in income),25,4,,,,,,,,,1
KP,Chitral,Potato,Landslides,4. Marketing,Farm to market roads damaged,4,Major (30-50% loss in income),100,4,,,,,,,,,1
KP,Chitral,Potato,Landslides,4. Marketing,High costs to reach markets,4,Major (30-50% loss in income),100,4,,,,,,,,,
KP,Chitral,Potato,Landslides,4. Marketing,Unpredictability of supply,3,Major (30-50% loss in income),75,4,,,,,,,,,
KP,Chitral,Potato,Landslides,4. Marketing,Reduced access to market information,2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Potato,Landslides,4. Marketing,Unable to fulfill orders,2,Major (30-50% loss in income),50,4,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Poor quality seed,17,Major (30-50% loss in income),100,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Excess demand for new/improved/tolerant varieties,15,Major (30-50% loss in income),88.23529412,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Increased price of inputs,8,Major (30-50% loss in income),47.05882353,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Difficulty accessing loans (banks not ending),2,Major (30-50% loss in income),11.76470588,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Farmers unable to repay loans,1,Major (30-50% loss in income),5.882352941,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Increased demand for irrigation infrastructure materials,1,Major (30-50% loss in income),5.882352941,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Reduced access to extension services,1,Major (30-50% loss in income),5.882352941,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),1. Input,Reduced sales of inputs,1,Major (30-50% loss in income),5.882352941,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Loss of on-farm income,15,Major (30-50% loss in income),88.23529412,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,More weeds,9,Major (30-50% loss in income),52.94117647,17,,,,,,,,,
KP,Chitral,Wheat,Disease outbreak (Plant & Livestock),2. On-farm,Need to use more inputs,7,Major (30-50% loss in income),41.17647059,17,,,,,,,,,
