province,district,crop,csa,adoption,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,productivity,adaptation,mitigation,hazard,hazard_1,hazard_2,hazard_3,barrier_1,b1_exp,barrier_2,b2_exp,name,contact,source,Ranking,Order,CSA Category
Punjab,Muzaffargarh,Mango,Liming,Adopted < 30%,Soil & Nutrient,Yield Income,Carbon,,,,"Allows production in soils with adverse chemical characteristics (low pH). Increases income per unit of area or produce. 
The Zn and lime application and their interaction signifiCannotly increased the soil amino acids, with potential to double rice yields in zinc-deficient soils.","Progressive reduction of lime application
can be achieved through inclusion of
organic matter/fertilizers, enhancing
biological activity and subsequently soil
fertility","In combination with organic fertilizers
improves soil carbon stocks and organic
matter content, hence reducing gradually
the use of synthetic fertilizers and
associated GHG emissions.",Pest & Disease,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,3,3,Liming
Punjab,Muzaffargarh,Mango,"Irrigation practices (Drip, Sprinkler, Regulated deficit)",Want to adopt ,Water,Carbon,Plant Animal health,Yield Income,,,"Plants receive exact water requirement,
improving productivity and quality. 
Improves or maintains yield per unit of
water","Improved water use efficiency, reducing
requirement in times of drought.
In combination with standardized irrigation
designs/schemes leads to water use
efficiency reducing the water demand in
drought prone areas. Minimizes erosion.","Reduced pumping costs due to precision
application
Reduces energy requirements for irrigation
hence associated GHG emissions per unit
of produce.",Drought,Pest & Disease,,,Economic,Higher costs for production,,,Nam Nguyen,,link,5,5,"Irrigation practices (Drip, Sprinkler, Regulated deficit)"
Punjab,Muzaffargarh,Mango,Multiple cropping (intercropping) (fodder crop/vegetables),Want to adopt,Soil & Nutrient,Water,Yield Income,Biodiversity,Plant Animal health,Carbon,"Enhanced nutrient use efficiency [1]
Integration of legumes into system can improve nutrient availability [1]","Better water use efficiency [1]
Diversifies income sources [1]
Can reduce risld from pest and disease [1]","Intercropping with legume species can increase Nitrogen Fixation, reducing the need for fertiliser.",Drought,Pest & Disease,,,Training & Info,Farmers lack information on the benefits,,,Nam Nguyen,,link,6,6,Intercropping
Punjab,Muzaffargarh,Mango,Harvesting at optimal time,Want to adopt,Yield Income,Plant Animal health,,,,,Yield preservation,Reduce post-harvest losses,,Drought,Flooding,,,,,,,Nam Nguyen,,link,9,9,Harvesting at optimal time
Punjab,Muzaffargarh,Mango,"Improved varieties (heat, drought, flood, salinity, pest & disease) ",Want to adopt,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,1,1,Improved Varieties
Punjab,Muzaffargarh,Mango,Fruit and Veg kitchen garden,Want to adopt ,Yield Income,,,,,,source of additional income,play a pivotal role to alleviating problems of hunger and malnutrition. decreases people’s fiscal expenditures and bring self-sufficiency in vegetables production,,,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Fruit and Vegetable Kitchen Garden
Punjab,Muzaffargarh,Mango,"IPM (Biocontrols, Phermone traps)",Adopted < 30 %,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cannot access equipment,Nam Nguyen,,link,8,8,Integrated Pest Management (IPM)
Punjab,Muzaffargarh,Wheat,Seasonal-adapated planting times (e.g. use of cropping calendars),Adopted < 30 %,Plant Animal health,Yield Income,Carbon,,,,"Increases land and crop productivity per
unit of water.",Adjusting the cropping calendar by planting with the onset of rains reduces losses due to changing weather patterns.,"Provides moderate reduction in GHG
emissions per unit of food produced.",High temps,Heavy rains,,,Environmental,Varying and uncertain climate conditions,Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,1,1,Season-adapted planting times (e.g. use of cropping calendars)
Punjab,Muzaffargarh,Wheat,Laser land levelling,Adopted > 60 % ,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link,2,2,Laser land levelling
Punjab,Muzaffargarh,Wheat,Community based seed quality management,Adopted 30%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,3,3,Community based seed quality management
Punjab,Muzaffargarh,Wheat,Ridge sowing/ Raised bed planting,Adopted 30%,Water,Yield Income,Plant Animal health,Soil & Nutrient,,,"Increased crop productivity by 20-30% [3]
Increased net profits of 22% compared to conventional production [4]
Decreases cost of digging tubewells by 40% [2, 3]
20-25% less seed required [3]","Water saving up to 30-50% [1,2]
Reduced water stress
Reduced crop lodging 
Better drainige during heavy rains","Higher nutrient use efficiency, reducing fertilizer requirement",Drought,Heavy rains,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Labour,Labour intensive,Nam Nguyen,,link,10,10,Ridge sowing/ Raised bed planting
Punjab,Muzaffargarh,Wheat,Zero-till (drill),Adopted 30%,Yield Income,Water,Soil & Nutrient,Carbon,,,"Yield gains, cost savings on labour and machinery up to 34% [1]
More than 30.00% saving of irrigation and saving of complete land preparation costs have been reported also, the sowing of wheat after rice under Zero-Tillage, when compared to conventional method, gave 20.20% more grain yield with a reduced cost of land preparation and a net benefit of 77.00% [2]",Reduced water usage [1] crop residues are left on the soil surface which adds to soil organic matter content [2] and avoids late planting and mitigates the effects of poor land preparation,Reduce GHG due to no crop residue burning [1],Drought,,,,Environmental,Saline and poorly drained with hard pan soils are not suitable for zero-till,,,Nam Nguyen,,link,11,11,Zero-till (drill)
Punjab,Muzaffargarh,Wheat,Intergrated Soil Fertility Management (ISFM),Adopted 30%,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,6,6,Intergrated Soil Fertility Management (ISFM)
Punjab,Muzaffargarh,Wheat,"Crop Rotation (cotton, mung)",Want to adopt,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Crop Rotation
Punjab,Muzaffargarh,Wheat,Composting (Farm Yard Manure),Want to adopt,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,8,8,Composting
Punjab,Muzaffargarh,Wheat,Liming,Adopted 30-60 %,Soil & Nutrient,Yield Income,Carbon,,,,"Allows production in soils with adverse chemical characteristics (low pH). Increases income per unit of area or produce. 
The Zn and lime application and their interaction signifiCannotly increased the soil amino acids, with potential to double rice yields in zinc-deficient soils.","Progressive reduction of lime application
can be achieved through inclusion of
organic matter/fertilizers, enhancing
biological activity and subsequently soil
fertility","In combination with organic fertilizers
improves soil carbon stocks and organic
matter content, hence reducing gradually
the use of synthetic fertilizers and
associated GHG emissions.",Pest & Disease,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,9,9,Liming
Punjab,Muzaffargarh,Wheat,Seed treatment (disease),Want to adopt,Plant Animal health,Yield Income,,,,,Yield increase and reduction of losses,protect seeds from microbial pathogens and insect pests. Maintain crop health,,Pest & Disease,,,,Training & Info,Farmers lack training for the practice,Economic,Higher costs for production,Nam Nguyen,,link,4,4,Seed treatment (disease)
Punjab,Muzaffargarh,Wheat,Soil analysis,Adopted 60%,Soil & Nutrient,Yield Income,,,,,Improves fertilizer efficiency and reduces costs of over-application of fertiliser.,"Evaluation of fertilizer needs of areas where crop will be grown. Allows for appropriate application of fertiliser and other nutrients for the soil.
This allows for better management of soil, limiting degradation and increasing its quality.",May reduce over-fertilisation,,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,5,5,Soil analysis
Punjab,Muzaffargarh,Wheat,On farm seed production,Adopted 30%,Yield Income,Crop & Livestock Suitability,,,,,"self-provision of eeds where private companies are not able to deliver, thereby ensuring yield across farms",Further development of locally adapted varieties can serve as a buffer against environmental and economic losses.,"High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,12,12,On farm seed production
Punjab,Muzaffargarh,Wheat,Farm equipments,Adopted 30%,Yield Income,,,,,,Increase labor efficiency and crop yield through mechanisation and more efficient farming tools,,,,,,,Economic,Lack of financial resources to purchase equipment,,,Nam Nguyen,,link,13,13,Farm equipments
Punjab,Rajanpur,Cotton,Community based seed quality management,Adopted 30%,Crop & Livestock Suitability,Yield Income,Plant Animal health,,,,"provision of productive and climate-adapted seeds where private companies are not able to deliver, thereby increasing yield","community seed banks can be essential instruments for conserving local varieties, restoring ‘lost’ varieties and sharing knowledge and expertise among farmers. 
They therefore serve as a buffer against environmental and economic losses.","High-performing and adapted seeds can reduce resource requirements, indirectly reducing GHGs",Flooding,Drought,Pest & Disease,,Policy & Inst,"Lack of regulatory and legal framework to promote community-based seed systems, as supposed to formal private-sector seed production",Training & Info,Farmers lack training for the practice,Nam Nguyen,,link,1,1,Community based seed quality management
Punjab,Rajanpur,Cotton,Laser land levelling,Adopted 30%,Soil & Nutrient,Yield Income,Carbon,,,,"Increases in yield. Reduces cost of production and hence increases profit from agriculture.
The integrated application of soil-water conservantion and imporved fertiliser application has been found to increase crop yields in the rainfed areas of Punjab","Improves soil health by increasing organic
matter content and biological activities.
ISFM can play a major role in improving farm output from degraded lands","Reduces requirements of synthetic
fertilizers use, thereby related GHG
emissions during its production and use.
Conserves Soil Organic Matter (SOM).",salinization,Heavy rains,Drought,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,6,6,Intergrated Soil Fertility Management (ISFM)
Punjab,Rajanpur,Cotton,"Intergrated Soil Fertility Management (ISFM)FYM, Composting, crop remains",Want to adopt,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link,4,4,Laser land levelling
Punjab,Rajanpur,Cotton,Ridge sowing/ Raised bed planting,Adopted > 60%,Water,Yield Income,Plant Animal health,Soil & Nutrient,,,"Increased crop productivity by 20-30% [3]
Increased net profits of 22% compared to conventional production [4]
Decreases cost of digging tubewells by 40% [2, 3]
20-25% less seed required [3]","Water saving up to 30-50% [1,2]
Reduced water stress
Reduced crop lodging 
Better drainige during heavy rains","Higher nutrient use efficiency, reducing fertilizer requirement",Drought,Heavy rains,Pest & Disease,,Training & Info,Farmers lack information on the benefits,Labour,Labour intensive,Nam Nguyen,,link,5,5,Ridge sowing/ Raised bed planting
Punjab,Rajanpur,Cotton,"Crop Rotation (Wheat, fodder)",Adopted > 60%,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,2,2,Crop Rotation
Punjab,Rajanpur,Cotton,Composting (Farm Yard Manure),Adopted 30-60%,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Composting
Punjab,Rajanpur,Cotton,"IPM(Biocontrols, Phermone traps)",Adopted < 30%,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cannot access equipment,Nam Nguyen,,link,3,3,Integrated Pest Management (IPM)
Punjab,Rajanpur,Cotton,"Irrigation practices(Drip, Sprinkler, Regulated deficit)",Want to adopt,Water,Carbon,Plant Animal health,Yield Income,,,"Plants receive exact water requirement,
improving productivity and quality. 
Improves or maintains yield per unit of
water","Improved water use efficiency, reducing
requirement in times of drought.
In combination with standardized irrigation
designs/schemes leads to water use
efficiency reducing the water demand in
drought prone areas. Minimizes erosion.","Reduced pumping costs due to precision
application
Reduces energy requirements for irrigation
hence associated GHG emissions per unit
of produce.",Drought,Pest & Disease,,,Economic,Higher costs for production,,,Nam Nguyen,,link,8,8,"Irrigation practices (Drip, Sprinkler, Regulated deficit)"
Punjab,Rajanpur,Sugarcane,Laser land levelling,Want to adopt,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link,1,1,Laser land levelling
Punjab,Rajanpur,Sugarcane,Dual row planting,Not adopted,Yield Income,,,,,,Twin row planting has been found to produce 4% more yield than single row planting.,,,,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,6,6,Dual row planting
Punjab,Rajanpur,Sugarcane,Crop Rotation,Want to adopt,Soil & Nutrient,Biodiversity,Plant Animal health,Yield Income,Carbon,Water,Crop rotation increases total production and productivity per unit area of land. Harvests of multiple crops from this system increase farmer’s income and food security.,This practice reduces the risk of total crop failure due to diversification of crops under climatic shocks. Improves soil fertility. Rotating crops maintains soil fertility and minimizes the incidence of pests and diseases.,"The practice of crop rotation helps to protect soil structure, increases soil organic matter and organic carbon reserves. Leguminous species integration reduces the need of synthetic fertilizers. When combined with nitrogen fixation species (leguminous) reduces the use of nitrogen-based synthetic fertilizers.",Pest & Disease,Drought,High temps,Flooding,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,3,3,Crop Rotation
Punjab,Rajanpur,Sugarcane,Timely weeding,Want to adopt,Plant Animal health,Yield Income,,,,,Improve yield and reduce production costs as well as minimize the negative effects of weeds on the quality of the produce,,,,,,,Training & Info,Farmers lack training for the practice,Labour,Labor-intesive,Nam Nguyen,,link,5,5,Timely weeding
Punjab,Rajanpur,Sugarcane,Earthing up,Want to adopt,Soil & Nutrient,Plant Animal health,Yield Income,,,,Increases in yield,Reduction of pest infestation,,Pest & Disease,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,7,7,Earthing up
Punjab,Rajanpur,Sugarcane,"IPM (Biocontrols, Phermone traps)",Want to adopt,Plant Animal health,Yield Income,Pollution,Biodiversity,Landscapes,,"Reduces losses from pests, improves yields [2]
Reduces cost of pesticide purchase [1,2], doses of pesticide chemicals can be largely reduced (up to 41 percent) on IPM-trained farms [4]
Maintains or increases the cost-effectiveness of pest management programs [1]","Builds resilience of plants to pests [1]
Protects beneficial non-target species [1]
Lower impact on surrounding landscape supports greater biodversity [3]","Reduces the potential for air and ground water contamination [1]
Reduces exposure of workers to pesticides [1]",Pest & Disease,,,,Training & Info,Farmers lack information on the benefits,Market,Cannot access equipment,Nam Nguyen,,link,8,8,Integrated Pest Management (IPM)
Punjab,Rajanpur,Sugarcane,Intercropping (canola),Want to adopt ,Soil & Nutrient,Water,Yield Income,Biodiversity,Plant Animal health,Carbon,"Enhanced nutrient use efficiency [1]
Integration of legumes into system can improve nutrient availability [1]","Better water use efficiency [1]
Diversifies income sources [1]
Can reduce risld from pest and disease [1]","Intercropping with legume species can increase Nitrogen Fixation, reducing the need for fertiliser.",Drought,Pest & Disease,,,Training & Info,Farmers lack information on the benefits,,,Nam Nguyen,,link,4,4,Intercropping
Punjab,Rajanpur,Sugarcane,Soil ripping(without turning the soil upside down),Adopted < 30 %,Soil & Nutrient,Yield Income,,,,,"Increases crop productivity, enhances water and fertilizer use efficiency, there by reducing production costs.","Potential to stabilise a deepened tilth in all soil types through the conservation of the structure and mass of enhanced root growth, which increases soil organic carbon, total soil nitrogen , as well as preventing waterlogging and improving irrigation efficiency.",,,,,,Training & Info,Farmers lack training for the practice,Economic,Machinery needed,Nam Nguyen,,link,9,9,Soil ripping
Punjab,Rajanpur,Sugarcane,Composting,Adopted < 30 %,Soil & Nutrient,Yield Income,Water,Carbon,,,"increased crop production and income.

Application rates can be decreased from tonnes to kilograms per hectare when using incorprating N fertiliser with N-enriched compost, and dependence on chemical fertilizer can be reduced to a certain extent.","Composting enriches soil, helping retain moisture, encourages the production of beneficial bacteria and fungi to produce humus.","waste management solution that can reduces greenhouse gases, methane emissions from landfills (dump) and lowers carbon footprint, reduces the need for chemical fertilizers",High temps,,,,Training & Info,Farmers lack training for the practice,,,Nam Nguyen,,link,2,2,Composting
Punjab,Rajanpur,Sugarcane,Drought resistant varities,Want to adopt,Crop & Livestock Suitability,Plant Animal health,Yield Income,Water,Carbon,,"High yielding, resilient varieties reduce
losses and increase productivity.","Improved varieties reduce losses under
adverse climatic conditions along with pest
and disease outbreaks.","Reduced requirement for pesticide and
fungicide use reduces emissions and
associated environmental degradation.",Drought,Flooding,Pest & Disease,,Market,Lack of available improved varieties. Seed supply does not meet demand.,,,Nam Nguyen,,link,10,10,Improved varieties
Punjab,Rajanpur,Wheat,Laser land levelling,Adopted > 60 % ,Water,Carbon,Yield Income,Soil & Nutrient,Plant Animal health,,"Improve yields by 12-20% [3, 5]
Increases yields and germination rates [2]
","30-50% reduction in the use of irrigation water [4, 5]
Reducing water requirement in drought prone areas 
Reduces water logging and salinity by upto 42% [4]
","Reduce energy use by 31% [3]
Improved fertiliser use efficiency 15-35% [4]
",Drought,salinization,,,Economic,Higher costs for production,Market,Not enough service providers,Nam Nguyen,,link,1,1,Laser land levelling
