Province,District,Village,Crop_livestock,Coverage,Month,Value,Management Practices,Comments
KP,Chitral,Shagram,Maize,20,Jan,,,
KP,Chitral,Shagram,Maize,20,Feb,,,
KP,Chitral,Shagram,Maize,20,Mar,,,
KP,Chitral,Shagram,Maize,20,Apr,,,
KP,Chitral,Shagram,Maize,20,May,,,
KP,Chitral,Shagram,Maize,20,Jun,,,
KP,Chitral,Shagram,Maize,20,Jul,Planting,"Planting, Irrigation, and Fertilizer application",
KP,Chitral,Shagram,Maize,20,Aug,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Shagram,Maize,20,Sep,Harvesting,"Irrigation, Weed and Pest management, and Harvesting",
KP,Chitral,Shagram,Maize,20,Oct,,,
KP,Chitral,Shagram,Maize,20,Nov,,,
KP,Chitral,Shagram,Maize,20,Dec,,,
KP,Chitral,Ziarat,Wheat,NA,Jan,Growing,,
KP,Chitral,Ziarat,Cattle,NA,Feb,Growing,,
KP,Chitral,Ziarat,Cattle,NA,Mar,Growing,"Irrigation, Fertiliser application, Weed, and  Pest management",
KP,Chitral,Ziarat,Cattle,NA,Apr,Growing,"Irrigation, Weed, and Pest management",
KP,Chitral,Ziarat,Cattle,NA,May,Growing,"Irrigation, Weed, and Pest management",
KP,Chitral,Ziarat,Cattle,NA,Jun,Growing,"Irrigation, Weed, and Pest management",
KP,Chitral,Ziarat,Cattle,NA,Jul,Growing,"Irrigation, Weed, and Pest management",
KP,Chitral,Ziarat,Cattle,NA,Aug,Harvesting,"Irrigation, Weed management and Harvesting",
KP,Chitral,Ziarat,Cattle,NA,Sep,,,
KP,Chitral,Ziarat,Cattle,NA,Oct,Planting,Irrigation and Weed management,
KP,Chitral,Ziarat,Cattle,NA,Nov,Growing,,
KP,Chitral,Ziarat,Cattle,NA,Dec,Growing,,
KP,Chitral,Ziarat,Potato,NA,Jan,,,
KP,Chitral,Ziarat,Potato,NA,Feb,,,
KP,Chitral,Ziarat,Potato,NA,Mar,,,
KP,Chitral,Ziarat,Potato,NA,Apr,Planting,"Land Preparation, Sowing, irrigation, Fertiliser Application, and Weed Management",
KP,Chitral,Ziarat,Potato,NA,May,Growing,"Irrigation, Weed and Pest Management",
KP,Chitral,Ziarat,Potato,NA,Jun,Growing,"Irrigation, Weed and Pest Management",
KP,Chitral,Ziarat,Potato,NA,Jul,Growing,"Irrigation, Weed and Pest Management",
KP,Chitral,Ziarat,Potato,NA,Aug,Harvesting,"Irrigation, Weed & pest Management and Harvesting",
KP,Chitral,Ziarat,Potato,NA,Sep,,,
KP,Chitral,Ziarat,Potato,NA,Oct,,,
KP,Chitral,Ziarat,Potato,NA,Nov,,,
KP,Chitral,Ziarat,Potato,NA,Dec,,,
KP,Chitral,Ziarat,Vegetables,NA,Jan,,,
KP,Chitral,Ziarat,Vegetables,NA,Feb,,,
KP,Chitral,Ziarat,Vegetables,NA,Mar,,,
KP,Chitral,Ziarat,Vegetables,NA,Apr,Planting,"Land preparation, Sowing, Irrigation, Fertiliser application and Weed management",
KP,Chitral,Ziarat,Vegetables,NA,May,Growing,"Irrigation, Transplanting, Weed and Pest management",
KP,Chitral,Ziarat,Vegetables,NA,Jun,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Ziarat,Vegetables,NA,Jul,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Ziarat,Vegetables,NA,Aug,Harvesting,"Irrigation, Weed & Pest management and Harvesting",
KP,Chitral,Ziarat,Vegetables,NA,Sep,,,
KP,Chitral,Ziarat,Vegetables,NA,Oct,,,
KP,Chitral,Ziarat,Vegetables,NA,Nov,,,
KP,Chitral,Ziarat,Vegetables,NA,Dec,,,
KP,Chitral,Ziarat,Fodder,NA,Jan,,,
KP,Chitral,Ziarat,Fodder,NA,Feb,,,
KP,Chitral,Ziarat,Fodder,NA,Mar,,,
KP,Chitral,Ziarat,Fodder,NA,Apr,Planting,"Land preparation, Sowing, Irrigation, Fertiliser application and Weed management",
KP,Chitral,Ziarat,Fodder,NA,May,Harvesting,"Irrigation, Pest management, and First cutting",
KP,Chitral,Ziarat,Fodder,NA,Jun,Growing,Irrigation,
KP,Chitral,Ziarat,Fodder,NA,Jul,Harvesting,"Irrigation, and Second cutting",
KP,Chitral,Ziarat,Fodder,NA,Aug,Harvesting ,"Irrigation, and Third cutting",
KP,Chitral,Ziarat,Fodder,NA,Sep,,,
KP,Chitral,Ziarat,Fodder,NA,Oct,,,
KP,Chitral,Ziarat,Fodder,NA,Nov,,,
KP,Chitral,Ziarat,Fodder,NA,Dec,,,
KP,Chitral,Ziarat,Maize,NA,Jan,,,
KP,Chitral,Ziarat,Maize,NA,Feb,,,
KP,Chitral,Ziarat,Maize,NA,Mar,,,
KP,Chitral,Ziarat,Maize,NA,Apr,,,
KP,Chitral,Ziarat,Maize,NA,May,,,
KP,Chitral,Ziarat,Maize,NA,Jun,Planting,"Land preparation, Sowing, Irrigation, Fertiliser application and Weed management.",
KP,Chitral,Ziarat,Maize,NA,Jul,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Ziarat,Maize,NA,Aug,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Ziarat,Maize,NA,Sep,Harvesting,"Irrigation, Weed and Pest management, and Harvesting",
KP,Chitral,Ziarat,Maize,NA,Oct,,,
KP,Chitral,Ziarat,Maize,NA,Nov,,,
KP,Chitral,Ziarat,Maize,NA,Dec,,,
KP,Chitral,Uchu,Wheat,NA,Jan,Growing,,
KP,Chitral,Uchu,Wheat,NA,Feb,Growing,,
KP,Chitral,Uchu,Wheat,NA,Mar,Growing,Irrigation,
KP,Chitral,Uchu,Wheat,NA,Apr,Growing,Irrigation and Fertiliser application,
KP,Chitral,Uchu,Wheat,NA,May,Growing,Irrigation,
KP,Chitral,Uchu,Wheat,NA,Jun,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Uchu,Wheat,NA,Jul,Harvesting,Harvesting,
KP,Chitral,Uchu,Wheat,NA,Aug,,,
KP,Chitral,Uchu,Wheat,NA,Sep,,,
KP,Chitral,Uchu,Wheat,NA,Oct,Planting,Planting,
KP,Chitral,Uchu,Wheat,NA,Nov,Growing,,
KP,Chitral,Uchu,Wheat,NA,Dec,Growing,,
KP,Chitral,Uchu,Potato,NA,Jan,,,
KP,Chitral,Uchu,Potato,NA,Feb,,,
KP,Chitral,Uchu,Potato,NA,Mar,,,
KP,Chitral,Uchu,Potato,NA,Apr,Planting,"Planting, Irrigation, and Fertiliser application",
KP,Chitral,Uchu,Potato,NA,May,Growing,"Irrigation, Pest and Weed management",
KP,Chitral,Uchu,Potato,NA,Jun,Growing,Irrigation and Fertiliser application,
KP,Chitral,Uchu,Potato,NA,Jul,Growing,Irrigation,
KP,Chitral,Uchu,Potato,NA,Aug,Harvesting,Irrigation and Harvesting,
KP,Chitral,Uchu,Potato,NA,Sep,,,
KP,Chitral,Uchu,Potato,NA,Oct,,,
KP,Chitral,Uchu,Potato,NA,Nov,,,
KP,Chitral,Uchu,Potato,NA,Dec,,,
KP,Chitral,Uchu,Vegetables,NA,Jan,,,
KP,Chitral,Uchu,Vegetables,NA,Feb,,,
KP,Chitral,Uchu,Vegetables,NA,Mar,,,
KP,Chitral,Uchu,Vegetables,NA,Apr,Planting,"Land preparation, Seedling preparation, Sowing, and Irrigation",
KP,Chitral,Uchu,Vegetables,NA,May,Growing,"Shifting & Transplanting, Irrigation, Weed and Pest management",
KP,Chitral,Uchu,Vegetables,NA,Jun,Growing,Weed and Pest management,
KP,Chitral,Uchu,Vegetables,NA,Jul,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Uchu,Vegetables,NA,Aug,Harvesting,Irrigation and Harvesting,
KP,Chitral,Uchu,Vegetables,NA,Sep,,,
KP,Chitral,Uchu,Vegetables,NA,Oct,,,
KP,Chitral,Uchu,Vegetables,NA,Nov,,,
KP,Chitral,Uchu,Vegetables,NA,Dec,,,
KP,Chitral,Uchu,Maize fodder,NA,Jan,,,
KP,Chitral,Uchu,Maize fodder,NA,Feb,,,
KP,Chitral,Uchu,Maize fodder,NA,Mar,,,
KP,Chitral,Uchu,Maize fodder,NA,Apr,,,
KP,Chitral,Uchu,Maize fodder,NA,May,Planting,"Planting, Irrigation, Fertiliser application, Weed and Pest management",
KP,Chitral,Uchu,Maize fodder,NA,Jun,Growing,"Irrigation, Fertiliser application, Weed and Pest management",
KP,Chitral,Uchu,Maize fodder,NA,Jul,Harvesting,Harvesting,
KP,Chitral,Uchu,Maize fodder,NA,Aug,,,
KP,Chitral,Uchu,Maize fodder,NA,Sep,,,
KP,Chitral,Uchu,Maize fodder,NA,Oct,,,
KP,Chitral,Uchu,Maize fodder,NA,Nov,,,
KP,Chitral,Uchu,Maize fodder,NA,Dec,,,
KP,Chitral,Uchu,Maize,NA,Jan,,,
KP,Chitral,Uchu,Maize,NA,Feb,,,
KP,Chitral,Uchu,Maize,NA,Mar,,,
KP,Chitral,Uchu,Maize,NA,Apr,,,
KP,Chitral,Uchu,Maize,NA,May,,,
KP,Chitral,Uchu,Maize,NA,Jun,,,
KP,Chitral,Uchu,Maize,NA,Jul,Planting,"Planting, Irrigation and Fertiliser application",
KP,Chitral,Uchu,Maize,NA,Aug,Growing,"Irrigation, Weed and Pest management",
KP,Chitral,Uchu,Maize,NA,Sep,Harvesting,"Irrigation, Weed and Pest management, and Harvesting",
KP,Chitral,Uchu,Maize,NA,Oct,,,
KP,Chitral,Uchu,Maize,NA,Nov,,,
KP,Chitral,Uchu,Maize,NA,Dec,,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Jan,Growing,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Feb,Growing,Herbicide application,
KP,D.I. Khan,Niaziabad,Wheat,NA,Mar,Growing,Irrigation and Fertiliser application,
KP,D.I. Khan,Niaziabad,Wheat,NA,Apr,Harvesting,Harvesting,
KP,D.I. Khan,Niaziabad,Wheat,NA,May,Harvesting,Harvesting,
KP,D.I. Khan,Niaziabad,Wheat,NA,Jun,,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Jul,,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Aug,,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Sep,,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Oct,Planting,Land preparation and Planting,
KP,D.I. Khan,Niaziabad,Wheat,NA,Nov,Growing,,
KP,D.I. Khan,Niaziabad,Wheat,NA,Dec,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Jan,Harvesting,Harvesting,Need to reveiw it
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Feb,Growing,"Irrigation, Herbicide application, and fertiliser application",
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Mar,Growing,Irrigation,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Apr,Growing,,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,May,Growing,,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Jun,Growing,"Fertiliser application, irrigation and Howing",
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Jul,Growing,"Fertiliser application, irrigation and Pest management",
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Aug,Growing,"Fertiliser application, irrigation and Pest management",
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Sep,Growing,Irrigation,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Oct,Planting,Land preparation and Planting,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Nov,Growing,Irrigation and Fertiliser application,
KP,D.I. Khan,Niaziabad,Sugarcane,NA,Dec,Growing,Irrigation,
KP,D.I. Khan,Niaziabad,Berseem,NA,Jan,Harvesting,Irrigation and Harvesting,Also this one needs to be reveiwed
KP,D.I. Khan,Niaziabad,Berseem,NA,Feb,Harvesting,"Irrigation, Fertiliser application and Harvesting",
KP,D.I. Khan,Niaziabad,Berseem,NA,Mar,Harvesting,"Irrigation, Fertiliser application and Harvesting",
KP,D.I. Khan,Niaziabad,Berseem,NA,Apr,,,
KP,D.I. Khan,Niaziabad,Berseem,NA,May,,,
KP,D.I. Khan,Niaziabad,Berseem,NA,Jun,,,
KP,D.I. Khan,Niaziabad,Berseem,NA,Jul,,,
KP,D.I. Khan,Niaziabad,Berseem,NA,Aug,,,
KP,D.I. Khan,Niaziabad,Berseem,NA,Sep,Planting,"Land preparation, Fertiliser application",
KP,D.I. Khan,Niaziabad,Berseem,NA,Oct,Growing,Planting and Irrigation,
KP,D.I. Khan,Niaziabad,Berseem,NA,Nov,Harvesting,"Fertiliser application, Irrigation and Harvesting",
KP,D.I. Khan,Niaziabad,Berseem,NA,Dec,Harvesting,"Fertiliser application, Irrigation and Harvesting",
KP,D.I. Khan,Niaziabad,Rice,NA,Jan,,,
KP,D.I. Khan,Niaziabad,Rice,NA,Feb,,,
KP,D.I. Khan,Niaziabad,Rice,NA,Mar,,,
KP,D.I. Khan,Niaziabad,Rice,NA,Apr,,,
KP,D.I. Khan,Niaziabad,Rice,NA,May,Planting,Land preparation and Fertiliser application,
KP,D.I. Khan,Niaziabad,Rice,NA,Jun,Growing,"Seedling preparation, Fertiliser application, and Pest management",
KP,D.I. Khan,Niaziabad,Rice,NA,Jul,Growing,"Transplanting, Planting, Fertiliser application and Irrigation",
KP,D.I. Khan,Niaziabad,Rice,NA,Aug,Growing,Irrigation,
KP,D.I. Khan,Niaziabad,Rice,NA,Sep,Growing,"Fertiliser application, Irrigation, Pest management, and Herbicide application",
KP,D.I. Khan,Niaziabad,Rice,NA,Oct,Harvesting,Harvesting,
KP,D.I. Khan,Niaziabad,Rice,NA,Nov,Harvesting,Harvesting,
KP,D.I. Khan,Niaziabad,Rice,NA,Dec,Harvesting,Harvesting,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Jan,,,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Feb,Planting,Land preparation,Need review of this pattern
KP,D.I. Khan,Niaziabad,Vegetables,NA,Mar,Planting,"Planting, Fertiliser application and Irrigation",
KP,D.I. Khan,Niaziabad,Vegetables,NA,Apr,Growing,"Herbicide application, Pest management, Fertiliser application and Irrigation",
KP,D.I. Khan,Niaziabad,Vegetables,NA,May,Growing/Harvesting,Irrigation and Harvesting,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Jun,Growing/Harvesting,"Pest management, Irrigation and Harvesting",
KP,D.I. Khan,Niaziabad,Vegetables,NA,Jul,Harvesting,Irrigation and Harvesting,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Aug,,,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Sep,,,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Oct,,,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Nov,,,
KP,D.I. Khan,Niaziabad,Vegetables,NA,Dec,,,
KP,D.I. Khan,Pathankot,Wheat,NA,Jan,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Wheat,NA,Feb,Growing,Irrigation,
KP,D.I. Khan,Pathankot,Wheat,NA,Mar,Growing,Irrigation,
KP,D.I. Khan,Pathankot,Wheat,NA,Apr,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Wheat,NA,May,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Wheat,NA,Jun,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Wheat,NA,Jul,,,
KP,D.I. Khan,Pathankot,Wheat,NA,Aug,,,
KP,D.I. Khan,Pathankot,Wheat,NA,Sep,Planting,Land preparation,
KP,D.I. Khan,Pathankot,Wheat,NA,Oct,Planting/ Growing,"Planting, Fertiliser application",
KP,D.I. Khan,Pathankot,Wheat,NA,Nov,Growing,"Fertiliser application, Herbicide application and Irrigation",
KP,D.I. Khan,Pathankot,Wheat,NA,Dec,Growing,"Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Pathankot,Groun Beat,NA,Jan,Growing,Irrigation and Herbicide application,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Feb,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Mar,,Irrigation,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Apr,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Groun Beat,NA,May,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Jun,,,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Jul,,,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Aug,,,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Sep,Planting,Land preparation and Fertiliser application,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Oct,Planting/ Growing,"Land preparation, Fertiliser application, and Irrigation",
KP,D.I. Khan,Pathankot,Groun Beat,NA,Nov,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Groun Beat,NA,Dec,Growing,"Fertiliser application, Irrigation and Howing",
KP,D.I. Khan,Pathankot,Vegetables,NA,Jan,Growing,"Pest management, Irrigation and Howing",
KP,D.I. Khan,Pathankot,Vegetables,NA,Feb,Growing/ Harvesting,Irrigation and Harvesting,
KP,D.I. Khan,Pathankot,Vegetables,NA,Mar,Growing/ Harvesting,"Irrigation, Pest management, and Harvesting",
KP,D.I. Khan,Pathankot,Vegetables,NA,Apr,Growing/ Harvesting,Harvesting and Irrigation,
KP,D.I. Khan,Pathankot,Vegetables,NA,May,Growing/ Harvesting,Harvesting and Irrigation,
KP,D.I. Khan,Pathankot,Vegetables,NA,Jun,Growing/ Harvesting,Harvesting and Irrigation,
KP,D.I. Khan,Pathankot,Vegetables,NA,Jul,,,
KP,D.I. Khan,Pathankot,Vegetables,NA,Aug,,,
KP,D.I. Khan,Pathankot,Vegetables,NA,Sep,Planting,Land preparation,
KP,D.I. Khan,Pathankot,Vegetables,NA,Oct,Planting,"Planting, Fertiliser application and Irrigation",
KP,D.I. Khan,Pathankot,Vegetables,NA,Nov,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Vegetables,NA,Dec,Growing,"Irrigation, Pest management and Herbicide application",
KP,D.I. Khan,Pathankot,Rice,NA,Jan,,,
KP,D.I. Khan,Pathankot,Rice,NA,Feb,,,
KP,D.I. Khan,Pathankot,Rice,NA,Mar,,,
KP,D.I. Khan,Pathankot,Rice,NA,Apr,Planting,Seedling preparation and Land preparation,
KP,D.I. Khan,Pathankot,Rice,NA,May,Planting,"Land preparation, Transplanting, and Planting",
KP,D.I. Khan,Pathankot,Rice,NA,Jun,Growing ,"Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,Jul,Growing ,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Rice,NA,Aug,Growing ,Irrigation,
KP,D.I. Khan,Pathankot,Rice,NA,Sep,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Rice,NA,Oct,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Rice,NA,Nov,,,
KP,D.I. Khan,Pathankot,Rice,NA,Dec,,,
KP,D.I. Khan,Pathankot,Sugarcane,NA,Jan,Harvesting and Planting,Land preparation and Harvesting,
KP,D.I. Khan,Pathankot,Rice,NA,Feb,Harvesting and Planting,"Harvesting, Land preparation, Fertiliser application, and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,Mar,Harvesting and Growing,"Harvesting, Fertliser application and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,Apr,Harvesting and Growing,"Harvesting, Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,May,Growing,Howing,
KP,D.I. Khan,Pathankot,Rice,NA,Jun,Growing,Howing,
KP,D.I. Khan,Pathankot,Rice,NA,Jul,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Rice,NA,Aug,Growing,"Fertiliser application, Herbicide application and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,Sep,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Rice,NA,Oct,Growing,Fertiliser application and Irrigation,
KP,D.I. Khan,Pathankot,Rice,NA,Nov,Growing,Irrigation,
KP,D.I. Khan,Pathankot,Rice,NA,Dec,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Maize,NA,Jan,,,
KP,D.I. Khan,Pathankot,Rice,NA,Feb,,,
KP,D.I. Khan,Pathankot,Rice,NA,Mar,,,
KP,D.I. Khan,Pathankot,Rice,NA,Apr,Planting,Land preparation,
KP,D.I. Khan,Pathankot,Rice,NA,May,Planting,"Planting, Fertiliser application and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,Jun,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Rice,NA,Jul,Planting,Land preparation,
KP,D.I. Khan,Pathankot,Rice,NA,Aug,Planting and Growing,"Planting, Fertiliser application and Irrigation",
KP,D.I. Khan,Pathankot,Rice,NA,Sep,Harvesting,Harvesting,
KP,D.I. Khan,Pathankot,Rice,NA,Oct,Planting,Land preparation,
KP,D.I. Khan,Pathankot,Rice,NA,Nov,Growing/ Harvesting,"Planting, Fertiliser application, Irrigation, and Harvesting",
KP,D.I. Khan,Pathankot,Rice,NA,Dec,,,
KP,D.I. Khan,Thattal,Wheat,NA,Jan,Growing,"Fertiliser application, Herbicide application and Irrigation",
KP,D.I. Khan,Thattal,Wheat,NA,Feb,Growing,"Fertiliser application, Herbicide application and Irrigation",
KP,D.I. Khan,Thattal,Wheat,NA,Mar,Growing,Irrigation,
KP,D.I. Khan,Thattal,Wheat,NA,Apr,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Wheat,NA,May,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Wheat,NA,Jun,,,
KP,D.I. Khan,Thattal,Wheat,NA,Jul,,,
KP,D.I. Khan,Thattal,Wheat,NA,Aug,,,
KP,D.I. Khan,Thattal,Wheat,NA,Sep,,,
KP,D.I. Khan,Thattal,Wheat,NA,Oct,Planting,Land preparation,
KP,D.I. Khan,Thattal,Wheat,NA,Nov,Planting,Planting,
KP,D.I. Khan,Thattal,Wheat,NA,Dec,Growing,"Planting, Fertiliser application and Irrigation",
KP,D.I. Khan,Thattal,Grain,NA,Jan,Growing,Pest management,
KP,D.I. Khan,Thattal,Grain,NA,Feb,Growing,Pest management,
KP,D.I. Khan,Thattal,Grain,NA,Mar,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Grain,NA,Apr,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Grain,NA,May,,,
KP,D.I. Khan,Thattal,Grain,NA,Jun,,,
KP,D.I. Khan,Thattal,Grain,NA,Jul,,,
KP,D.I. Khan,Thattal,Grain,NA,Aug,,,
KP,D.I. Khan,Thattal,Grain,NA,Sep,Planting,Land preparation,
KP,D.I. Khan,Thattal,Grain,NA,Oct,Planting,"Planting, Fertiliser application and Pest management",
KP,D.I. Khan,Thattal,Grain,NA,Nov,Growing,,
KP,D.I. Khan,Thattal,Grain,NA,Dec,Growing,,
KP,D.I. Khan,Thattal,Sarson,NA,Jan,Growing,Pest management,
KP,D.I. Khan,Thattal,Sarson,NA,Feb,Growing,Pest management,
KP,D.I. Khan,Thattal,Sarson,NA,Mar,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Sarson,NA,Apr,,,
KP,D.I. Khan,Thattal,Sarson,NA,May,,,
KP,D.I. Khan,Thattal,Sarson,NA,Jun,,,
KP,D.I. Khan,Thattal,Sarson,NA,Jul,,,
KP,D.I. Khan,Thattal,Sarson,NA,Aug,,,
KP,D.I. Khan,Thattal,Sarson,NA,Sep,,,
KP,D.I. Khan,Thattal,Sarson,NA,Oct,Planting,Land preparation,
KP,D.I. Khan,Thattal,Sarson,NA,Nov,Planting,Planting,
KP,D.I. Khan,Thattal,Sarson,NA,Dec,Growing,,
KP,D.I. Khan,Thattal,Rice,NA,Jan,,,
KP,D.I. Khan,Thattal,Rice,NA,Feb,,,
KP,D.I. Khan,Thattal,Rice,NA,Mar,,,
KP,D.I. Khan,Thattal,Rice,NA,Apr,Planting,Seedling preparation and Land preparation,
KP,D.I. Khan,Thattal,Rice,NA,May,Planting,Seedling preparation and Land preparation,
KP,D.I. Khan,Thattal,Rice,NA,Jun,Growing,tranplanting and Irrigation,
KP,D.I. Khan,Thattal,Rice,NA,Jul,Growing,"Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Thattal,Rice,NA,Aug,Growing,"Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Thattal,Rice,NA,Sep,Growing,"Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Thattal,Rice,NA,Oct,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Rice,NA,Nov,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Rice,NA,Dec,Harvesting,Harvesting,
KP,D.I. Khan,Thattal,Sugarcane,NA,Jan,Planting and Harvesting,"Harvesting, Land preparation, Fertiliser application, Pest management and Irrigation",Need to reveiw this
KP,D.I. Khan,Thattal,Sugarcane,NA,Feb,Planting and Harvesting,"Harvesting, Planting, Fertiliser application, Pest management and Irrigation",
KP,D.I. Khan,Thattal,Sugarcane,NA,Mar,Harvesting and Growing,"Harvesting, Fertiliser application, Pest management and Irrigation",
